Account Name,Bank,API URL,Product ID,API Result,Pension,Youth,Cash Management,SMSF,Christmas
MySaver Account ,Adelaide Bank,https://api.cdr.adelaidebank.com.au/cds-au/v1,674d4369-33ba-4ccf-88e5-731f0e322f99,Succeeded,No,No,No,No,No
Savings,Alex Bank Pty Limited,https://public.cdr.alex.bank/cds-au/v1,086e30f2-dbbb-4252-a3a6-73848456b2cb,Succeeded,No,No,No,No,No
AMP Saver Account,AMP Bank Ltd,https://api.cdr-api.amp.com.au/cds-au/v1,AMP_SAVER,Succeeded,No,No,No,No,No
AMP SuperEdge Saver Account,AMP Bank Ltd,https://api.cdr-api.amp.com.au/cds-au/v1,AMP_SUPEREDGE_SAVER_ACCOUNT,Succeeded,No,No,No,Yes,No
AMP SuperEdge Pension Account,AMP Bank Ltd,https://api.cdr-api.amp.com.au/cds-au/v1,AMP_SUPEREDGE_PENSION_ACCOUNT,Succeeded,Yes,No,No,No,No
Personal Online Savings Account,Arab Bank Australia Limited,https://open-banking.australianunity.com.au/cds-au/v1,POSA01,Succeeded,No,No,No,No,No
ANZ Pensioner Advantage Account,Australia and New Zealand Banking Group Limited,https://api.anz/cds-au/v1,f9ec7ae4-f606-0e91-9403-d6ce664eb765,Succeeded,Yes,No,No,No,No
ANZ Online Saver,Australia and New Zealand Banking Group Limited,https://api.anz/cds-au/v1,3776f456-9612-1354-70db-a165f84ef653,Succeeded,No,No,No,No,No
ANZ Progress Saver,Australia and New Zealand Banking Group Limited,https://api.anz/cds-au/v1,e9a3b4fe-240c-388e-2282-42db8f570e63,Succeeded,No,No,No,No,No
ANZ SMSF Cash Hub Account,Australia and New Zealand Banking Group Limited,https://api.anz/cds-au/v1,ef5d9d5e-f822-4e9f-8b95-f0683115539f,Succeeded,No,No,No,Yes,No
Online Saver,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,9d1888b8-097d-4c21-849f-730bfaace6c3,Succeeded,No,No,No,No,No
Recruit Salary Saver,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,a1a3eba2-34ff-45f2-b097-905a0f845834,Succeeded,No,Yes,No,No,No
Junior Saver,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,f541d5ed-51df-4c4d-8e8c-2d2e70f18e4e,Succeeded,No,Yes,No,No,No
Star Saver Direct,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,c210a3d5-7b89-4233-a9f6-fd0a65c31842,Succeeded,No,No,No,No,No
Capital Guaranteed Pension Account,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,cc36cf83-266d-4537-8c71-325313bf07c4,Succeeded,Yes,No,No,No,No
Pension Access Account,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,d397f2bc-69e8-4bbc-b5ec-b990ba568d9c,Succeeded,Yes,No,No,No,No
Capital Guaranteed Super,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,a7d9a6dc-8261-4252-978b-66bb95bec20c,Succeeded,No,No,No,Yes,No
DIY Super Saver,Australian Military Bank Ltd,https://public.open.australianmilitarybank.com.au/cds-au/v1,3c42c73d-8632-4304-9f0e-132ad5f1ab42,Succeeded,No,No,No,Yes,No
